Country,Population,'% 'of' World,Date,Source
"World
","8,072,060,000",100%,"17 Nov 2023
",#cite_note-unpop-4
" China
","1,411,750,000",17.5%,"31 Dec 2022
",#cite_note-5
" India
","1,392,329,000",17.2%,"1 Mar 2023
",#cite_note-7
" United States
","335,641,000",4.2%,"17 Nov 2023
",#cite_note-10
" Indonesia
","279,118,866",3.5%,"1 Jul 2023
",#cite_note-12
" Pakistan
","241,499,431",3.0%,"1 Mar 2023
",#cite_note-13
" Nigeria
","216,783,400",2.7%,"21 Mar 2022
",#cite_note-15
" Brazil
","203,062,512",2.5%,"1 Aug 2022
",#cite_note-16
" Bangladesh
","169,828,911",2.1%,"14 Jun 2022
",#cite_note-17
" Russia
","146,424,729",1.8%,"1 Jan 2023
",#cite_note-18
" Mexico
","129,202,482",1.6%,"30 Jun 2023
",#cite_note-20
" Japan
","124,340,000",1.5%,"1 Oct 2023
",#cite_note-21
" Philippines
","110,753,000",1.4%,"17 Nov 2023
",#cite_note-22
" Ethiopia
","107,334,000",1.3%,"1 Jul 2023
",#cite_note-23
" Egypt
","105,562,000",1.3%,"17 Nov 2023
",#cite_note-24
" Vietnam
","100,000,000",1.2%,"Apr 2023
",#cite_note-gso-pop-25
" DR Congo
","95,370,000",1.2%,"1 Jul 2019
",#cite_note-26
" Iran
","85,372,800",1.1%,"17 Nov 2023
",#cite_note-27
" Turkey
","85,279,553",1.1%,"31 Dec 2022
",#cite_note-28
" Germany
","84,482,267",1.0%,"30 Jun 2023
",#cite_note-29
" Thailand
","68,263,022",0.8%,"1 Jul 2021
",#cite_note-30
" France
","68,184,000",0.8%,"1 Sep 2023
",#cite_note-31
" United Kingdom
","67,026,292",0.8%,"30 Jun 2021
",#cite_note-33
" South Africa
","62,027,503",0.8%,"2 Feb 2022
",#cite_note-35
" Tanzania
","61,741,120",0.8%,"23 Aug 2022
",#cite_note-36
" Italy
","58,780,965",0.7%,"31 Jul 2023
",#cite_note-38
" Myanmar
","55,770,232",0.7%,"1 Jul 2022
",#cite_note-39
